visitor_id,age_group,zone_visited,discovery_source,satisfaction_rating,would_recommend,comment,sentiment,visit_date
484de21b-36e1-42cb-bef3-eb11bab98a1e,36-50,Tech Innovations,Newspaper,5,1,"Great experience overall, well organized.",Positive,2025-12-18
89d49162-ff82-42b4-a86d-0150b7ca25e4,50+,Heritage Crafts,Social Media,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-02
31b3f4a8-7dd8-4c34-9c0f-f6b1db8c044f,36-50,Heritage Crafts,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-14
e42bd679-d276-44b3-8f8f-146192f5d8b3,Under 18,Heritage Crafts,Online Ads,4,1,Friendly staff and clean premises.,Positive,2025-12-19
e6f75f60-d4d6-4b75-b642-59ae158a4cc8,50+,Heritage Crafts,Friends/Family,3,0,"Some zones were good, others not so much.",Neutral,2025-12-02
aaa88a44-9098-421d-a889-475c15198667,26-35,Kids Zone,Friends/Family,4,1,"Great experience overall, well organized.",Positive,2025-12-19
3c68a43c-3791-4fcb-8fe8-079499aa4d9e,18-25,Tech Innovations,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-07
d3618268-9312-423b-bd81-cbf4fe42a96e,50+,Tech Innovations,College/Work,2,1,Photography section felt empty and poorly curated.,Negative,2025-12-20
41f0de66-bd2e-4b94-86b3-2a4edf635401,50+,Modern Art,Friends/Family,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-19
0d7d760a-9773-4612-b855-d489e8e37573,26-35,Food & Culture,Social Media,5,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-08
81f19e83-150d-4f72-8e88-87858551154c,26-35,Heritage Crafts,Friends/Family,3,0,"Some zones were good, others not so much.",Neutral,2025-12-15
07e56f22-f794-483e-9975-b2a8914325ce,Under 18,Tech Innovations,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-11
088c03b1-ec29-46ed-8b8a-c70f20f3a300,36-50,Modern Art,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-18
58cb3412-c378-4e93-9063-48fc42784939,26-35,Kids Zone,Newspaper,4,1,"The heritage crafts zone was amazing, very informative.",Positive,2025-12-19
e6869f98-0d6a-4c09-bfc1-644818eb00df,Under 18,Food & Culture,Online Ads,4,1,"Loved the variety of stalls, especially the food section!",Positive,2025-12-03
c5581b04-2ebf-468d-89c5-be51c08d7b07,26-35,Heritage Crafts,Newspaper,3,0,"Some zones were good, others not so much.",Neutral,2025-12-15
f904256e-a682-459b-a0e5-1c6f963cdfc0,36-50,Tech Innovations,College/Work,4,1,"Tech zone was impressive, learned a lot.",Positive,2025-12-15
d0e47e3f-9254-4600-ad39-0ec9c7ba5eeb,50+,Tech Innovations,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-10
6b51770d-7a3d-45ea-9662-f561c0af8343,18-25,Modern Art,Friends/Family,4,0,"Tech zone was impressive, learned a lot.",Positive,2025-12-16
8f9ec1db-2a47-4981-8218-306fc3fb096c,36-50,Heritage Crafts,Friends/Family,3,1,"It was okay, nothing special.",Neutral,2025-12-05
ce44910d-1fe4-4a86-8777-05cdda614718,26-35,Food & Culture,College/Work,5,0,Friendly staff and clean premises.,Positive,2025-12-13
2fa3bcdd-a081-4fa9-a2c3-c3ad28e8fa81,Under 18,Modern Art,Social Media,4,1,"Great experience overall, well organized.",Positive,2025-12-08
905e0b53-1446-42f2-b0e9-8ad00d6df755,50+,Heritage Crafts,Social Media,4,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-05
dbaa04cd-9526-43bd-a37e-c24a5bc48a35,26-35,Food & Culture,Newspaper,5,1,Friendly staff and clean premises.,Positive,2025-12-05
a12d8ec2-1efd-42e2-91ba-e78e8c04bfa0,50+,Photography,Newspaper,4,1,Friendly staff and clean premises.,Positive,2025-12-15
bc9e8865-9d39-4842-bb86-b7931b516bec,36-50,Photography,Friends/Family,3,1,"Some zones were good, others not so much.",Neutral,2025-12-16
d8cd324f-1d17-479e-bda7-1c69070788bc,Under 18,Photography,Social Media,4,0,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-15
0ce37ffc-2fc1-412c-a32f-4c75b28eb49a,26-35,Modern Art,Newspaper,2,1,Photography section felt empty and poorly curated.,Negative,2025-12-19
06d656e4-b0a1-4356-9334-f8dfb9d14447,Under 18,Modern Art,Online Ads,5,1,Friendly staff and clean premises.,Positive,2025-12-03
808d20d4-a14f-4abe-bf73-27e3e012c46f,36-50,Modern Art,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-12
95d5afd5-9ad1-4a8f-a535-5bc65a7bc9e5,36-50,Kids Zone,Social Media,3,0,"Average experience, could be better.",Neutral,2025-12-15
d4f73609-1472-40e8-ba69-ce406324daca,26-35,Food & Culture,Social Media,5,1,"Kids enjoyed it a lot, good activities for children.",Positive,2025-12-11
b7df1f3f-0ae8-4537-b4d8-25274ba15137,36-50,Photography,College/Work,3,1,"Average experience, could be better.",Neutral,2025-12-01
f4120cd8-5cbc-4415-b9b8-b8664be3bdf8,26-35,Modern Art,Social Media,4,1,Friendly staff and clean premises.,Positive,2025-12-01
